system:index,region,vegClimZoneLab,pop,ref,skog
+41510+236961,Midt-Norge,Sørboreal sone (SB),"4.914775848388672","0.1593577927405681","1.831350345693832"
+41513+236960,Midt-Norge,Sørboreal sone (SB),"1.058335304260254","0.1593577927405681","1.831350345693832"
+41534+225787,Østlandet,Sørboreal sone (SB),"0.85272216796875","0.85272216796875","6.749641527678807"
+41535+236992,Midt-Norge,Sørboreal sone (SB),"0.7484016418457031","0.1593577927405681","1.831350345693832"
+41536+236964,Midt-Norge,Sørboreal sone (SB),"0.1593577927405681","0.1593577927405681","1.831350345693832"
+41537+236967,Midt-Norge,Sørboreal sone (SB),"0.2864189147949219","0.1593577927405681","1.831350345693832"
+41539+236974,Midt-Norge,Sørboreal sone (SB),"0.1593577927405681","0.1593577927405681","1.831350345693832"
+41545+236992,Midt-Norge,Sørboreal sone (SB),"1.618385314941406","0.1593577927405681","1.831350345693832"
+41549+236984,Midt-Norge,Sørboreal sone (SB),"5.981857299804688","0.1593577927405681","1.831350345693832"
+41556+236985,Midt-Norge,Sørboreal sone (SB),"4.6903076171875","0.1593577927405681","1.831350345693832"
+41648+237016,Midt-Norge,Sørboreal sone (SB),"2.571006774902344","0.1593577927405681","1.831350345693832"
+41652+237010,Midt-Norge,Sørboreal sone (SB),"1.123924255371094","0.1593577927405681","1.831350345693832"
+41660+237001,Midt-Norge,Sørboreal sone (SB),"2.95236873626709","0.1593577927405681","1.831350345693832"
+41669+237002,Midt-Norge,Sørboreal sone (SB),"1.531320095062256","0.1593577927405681","1.831350345693832"
+41670+237019,Midt-Norge,Sørboreal sone (SB),"0.5567855834960938","0.1593577927405681","1.831350345693832"
+41696+237019,Midt-Norge,Sørboreal sone (SB),"1.977825164794922","0.1593577927405681","1.831350345693832"
+41866+225862,Østlandet,Sørboreal sone (SB),"2.61798095703125","0.85272216796875","6.749641527678807"
+41876+225855,Østlandet,Sørboreal sone (SB),"0.85272216796875","0.85272216796875","6.749641527678807"
+41921+225853,Østlandet,Sørboreal sone (SB),"7.868362426757812","0.85272216796875","6.749641527678807"
+42193+238927,Midt-Norge,Sørboreal sone (SB),"6.760242462158203","0.1593577927405681","1.831350345693832"
+42195+238927,Midt-Norge,Sørboreal sone (SB),"2.974023818969727","0.1593577927405681","1.831350345693832"
+42199+238923,Midt-Norge,Sørboreal sone (SB),"2.452468872070312","0.1593577927405681","1.831350345693832"
+42201+238920,Midt-Norge,Sørboreal sone (SB),"1.357215881347656","0.1593577927405681","1.831350345693832"
+42203+238923,Midt-Norge,Sørboreal sone (SB),"1.593406677246094","0.1593577927405681","1.831350345693832"
+42210+238918,Midt-Norge,Sørboreal sone (SB),"0.7738800048828125","0.1593577927405681","1.831350345693832"
+43228+220701,Østlandet,Boreonemoral sone (BN),"0.7537612915039062","0.2259087713595429","6.374834886645566"
+43266+220658,Østlandet,Boreonemoral sone (BN),"2.3824462890625","0.2259087713595429","6.374834886645566"
+43269+220648,Østlandet,Boreonemoral sone (BN),"2.048751831054688","0.2259087713595429","6.374834886645566"
+43269+220651,Østlandet,Boreonemoral sone (BN),"0.8505439758300781","0.2259087713595429","6.374834886645566"
+43299+220652,Østlandet,Boreonemoral sone (BN),"0.2259087713595429","0.2259087713595429","6.374834886645566"
+43302+220656,Østlandet,Boreonemoral sone (BN),"8.190101623535156","0.2259087713595429","6.374834886645566"
+43333+220581,Østlandet,Boreonemoral sone (BN),"6.09222412109375","0.2259087713595429","6.374834886645566"
+43341+220575,Østlandet,Boreonemoral sone (BN),"2.891998291015625","0.2259087713595429","6.374834886645566"
+43344+220576,Østlandet,Boreonemoral sone (BN),"5.380935668945312","0.2259087713595429","6.374834886645566"
+43378+220444,Østlandet,Boreonemoral sone (BN),"3.848831176757813","0.2259087713595429","6.374834886645566"
+43401+220438,Østlandet,Boreonemoral sone (BN),"2.699188232421875","0.2259087713595429","6.374834886645566"
+43444+220441,Østlandet,Boreonemoral sone (BN),"4.452033996582031","0.2259087713595429","6.374834886645566"
+44075+250138,Nord-Norge,Mellomboreal sone (MB),"0.4179030025706571","0.4179030025706571","2.928815873318962"
+44210+236811,Midt-Norge,Sørboreal sone (SB),"4.216472625732422","0.1593577927405681","1.831350345693832"
+44213+250287,Nord-Norge,Mellomboreal sone (MB),"0.4179030025706571","0.4179030025706571","2.928815873318962"
+44214+236826,Midt-Norge,Sørboreal sone (SB),"0.1593577927405681","0.1593577927405681","1.831350345693832"
+44224+236826,Midt-Norge,Sørboreal sone (SB),"2.091262817382812","0.1593577927405681","1.831350345693832"
+44264+250296,Nord-Norge,Mellomboreal sone (MB),"0.4179030025706571","0.4179030025706571","2.928815873318962"
+44278+250303,Nord-Norge,Mellomboreal sone (MB),"0.4179030025706571","0.4179030025706571","2.928815873318962"
+44287+250307,Nord-Norge,Mellomboreal sone (MB),"0.4179030025706571","0.4179030025706571","2.928815873318962"
+44326+250353,Nord-Norge,Mellomboreal sone (MB),"0.4179030025706571","0.4179030025706571","2.928815873318962"
